RowID	First_name	Last_name	Email	Age	AgeGroup	Gender	Date	Month	Cost	Quantity	Product	Category	Colour	OnSale	PurchasedVia	City	Stars	Happiness	Recommendation
19	Alice	NA	NA	31	25-34	Female	2025-10-17	October	84.03	1	Shirt	Tops	Red	No	In-store	London	4	4	Yes
20	Christopher	NA	NA	25	25-34	Female	2025-04-12	April	73.45	1	Joggers	Bottoms	Black	No	In-store	Liverpool	5	5	NA
21	Rosie	NA	NA	18	18-24	Genderfluid	2025-09-28	September	89.74	1	Trousers	Bottoms	Black	Yes	Website	Brighton	4	5	Yes
22	Ryan	NA	NA	34	25-34	Female	2025-07-18	July	97.09	1	Jeans	Bottoms	Brown	No	In-store	London	5	3	Yes
23	Aimee	NA	NA	37	35-44	Male	2025-04-04	April	52.77	1	Trainers	Footwear	Grey	No	Website	Bath	3	3	NA
24	Linda	NA	NA	37	35-44	Female	2025-05-31	May	53.82	1	Joggers	Bottoms	Pink	No	In-store	Birmingham	5	5	NA
25	Maureen	NA	NA	20	18-24	Male	2025-07-25	July	31.9	1	Trousers	Bottoms	Black	No	In-store	Birmingham	3	4	NA
26	Bruce	NA	NA	18	18-24	Female	2025-04-28	April	80.57	1	Trainers	Footwear	Black	No	In-store	Brighton	4	4	Yes
27	Roy	NA	NA	18	18-24	Male	2025-01-01	January	67.38	1	Trousers	Bottoms	Grey	No	Website	Liverpool	5	5	Yes
28	Carole	NA	NA	37	35-44	Female	2025-06-08	June	27.3	1	Tshirt	Tops	Beige	No	Website	Cardiff	4	3	Yes
29	Irene	NA	NA	37	35-44	Female	2025-03-04	March	27.7	1	Trainers	Footwear	Black	No	In-store	Liverpool	5	2	NA
30	Bethany	NA	NA	21	18-24	Male	2025-10-11	October	54.67	1	Shirt	Tops	Brown	No	In-store	Bath	4	5	NA
31	Bruce	NA	NA	26	25-34	Female	2025-10-12	October	20.05	1	Jeans	Bottoms	Blue	No	In-store	Glasgow	5	2	NA
32	Connor	NA	NA	19	18-24	Female	2025-01-10	January	36.54	2	Trousers	Bottoms	Grey	No	In-store	Bath	4	5	NA
33	Karl	NA	NA	26	25-34	Female	2025-03-23	March	60.35	1	Trousers	Bottoms	White	No	In-store	Bath	4	4	NA
34	Stanley	NA	NA	25	25-34	Female	2025-03-09	March	94.39	1	Trousers	Bottoms	Black	No	In-store	Birmingham	4	3	NA
35	Julian	NA	NA	19	18-24	Male	2025-03-23	March	26.69	1	Trainers	Footwear	White	No	In-store	Liverpool	3	3	Yes
36	Adrian	NA	NA	22	18-24	Male	2025-09-22	September	88.84	1	Boots	Footwear	Grey	Yes	Website	Cardiff	3	4	NA
37	Katy	NA	NA	19	18-24	Male	2025-06-27	June	62.0	1	Tshirt	Tops	White	No	Website	London	4	5	NA
38	Shaun	NA	NA	28	25-34	Female	2025-09-05	September	66.52	1	Polo	Tops	Black	Yes	In-store	Bath	3	3	NA
39	Linda	NA	NA	39	35-44	Male	2025-09-28	September	54.84	1	Joggers	Bottoms	Brown	Yes	Website	Bath	4	3	NA
40	Peter	NA	NA	22	18-24	Non-binary	2025-05-03	May	30.47	1	Coat	Outerwear	White	No	App	London	3	2	NA
41	Victor	NA	NA	34	25-34	Male	2025-01-23	January	22.39	1	Tshirt	Tops	Pink	No	App	Nottingham	4	5	Yes
42	Iain	NA	NA	28	25-34	Male	2025-07-29	July	51.69	2	Jeans	Bottoms	Brown	No	In-store	Brighton	5	2	Yes
43	Charles	NA	NA	26	25-34	Male	2025-01-04	January	74.97	1	Jeans	Bottoms	Grey	No	In-store	Nottingham	5	5	NA
44	Hannah	NA	NA	40	35-44	Female	2025-08-03	August	47.14	1	Shirt	Tops	Grey	Yes	Website	London	2	5	NA
45	Janet	NA	NA	27	25-34	Female	2025-10-06	October	86.28	1	Jacket	Outerwear	Black	No	App	Liverpool	3	2	Yes
46	Richard	NA	NA	33	25-34	Genderfluid	2025-09-26	September	24.37	2	Jacket	Outerwear	Black	Yes	In-store	Bath	3	5	Yes
47	Caroline	NA	NA	35	35-44	Male	2025-11-11	November	92.21	1	Hat	Accessories	Black	No	In-store	London	3	4	NA
48	Michelle	NA	NA	42	35-44	Female	2025-08-01	August	70.9	1	Trainers	Footwear	Black	No	In-store	Cardiff	5	4	NA
49	Nathan	NA	NA	20	18-24	Genderfluid	2025-06-14	June	85.15	1	Boots	Footwear	Red	No	App	Cardiff	3	3	NA
50	Jack	NA	NA	19	18-24	Male	2025-02-19	February	46.22	1	Trainers	Footwear	Brown	Yes	In-store	Bath	4	3	Yes
51	Julia	NA	NA	20	18-24	Female	2025-10-01	October	38.76	2	Trousers	Bottoms	Black	No	In-store	London	4	4	Yes
52	Fiona	NA	NA	30	25-34	Male	2025-12-26	December	71.14	1	Trainers	Footwear	White	No	In-store	London	5	3	Yes
53	Patrick	NA	NA	37	35-44	Female	2025-08-26	August	37.82	1	Trainers	Footwear	Blue	No	In-store	London	5	3	Yes
54	Rita	NA	NA	41	35-44	Male	2025-04-05	April	55.38	1	Tshirt	Tops	Black	No	In-store	Liverpool	3	5	NA
55	George	NA	NA	30	25-34	Male	2025-08-19	August	67.16	1	Jewellery	Accessories	Purple	No	In-store	Cardiff	2	3	Yes
56	Andrew	NA	NA	30	25-34	Female	2025-05-18	May	64.75	1	Tshirt	Tops	Red	No	Website	Liverpool	5	3	NA
57	Ashleigh	NA	NA	18	18-24	Male	2025-07-06	July	59.31	1	Joggers	Bottoms	Black	No	Website	Birmingham	3	4	NA
58	Eric	NA	NA	26	25-34	Male	2025-03-15	March	47.09	1	Trousers	Bottoms	Black	No	Website	London	3	5	NA
59	Hilary	NA	NA	30	25-34	Female	2025-05-25	May	43.17	1	Joggers	Bottoms	Black	No	In-store	London	4	2	Yes
60	Barry	NA	NA	24	18-24	Female	2025-12-09	December	63.6	1	Trousers	Bottoms	Black	No	In-store	London	3	3	Yes
61	Danny	NA	NA	26	25-34	Male	2025-01-12	January	57.64	1	Jeans	Bottoms	Black	No	In-store	Nottingham	4	2	Yes
62	Abdul	NA	NA	25	25-34	Female	2025-06-24	June	62.51	2	Shirt	Tops	Grey	No	Website	Brighton	4	4	NA
63	Bradley	NA	NA	47	45-54	Female	2025-07-15	July	27.87	1	Trainers	Footwear	Grey	No	Website	Brighton	5	4	Yes
64	Jay	NA	NA	43	35-44	Female	2025-08-04	August	97.73	1	Shirt	Tops	Brown	Yes	In-store	Brighton	5	5	NA
65	Ross	NA	NA	19	18-24	Female	2025-10-19	October	58.5	1	Trousers	Bottoms	Black	No	In-store	Bath	4	3	Yes
66	Callum	NA	NA	40	35-44	Male	2025-09-27	September	57.08	2	Tshirt	Tops	White	No	Website	Birmingham	4	3	NA
67	Charlotte	NA	NA	41	35-44	Female	2025-04-02	April	27.61	1	Hat	Accessories	White	No	In-store	Glasgow	2	4	NA
68	Natasha	NA	NA	25	25-34	Male	2025-09-13	September	32.68	1	Jeans	Bottoms	Brown	No	In-store	Brighton	5	5	NA
69	Mohamed	NA	NA	40	35-44	Female	2025-11-15	November	99.02	1	Shirt	Tops	Brown	No	In-store	Liverpool	5	4	Yes
70	Karen	NA	NA	33	25-34	Male	2025-06-26	June	45.98	1	Trainers	Footwear	Brown	No	Website	Bath	5	5	NA
71	Marian	NA	NA	34	25-34	Male	2025-12-05	December	60.05	1	Hat	Accessories	Brown	Yes	In-store	Glasgow	5	5	Yes
72	Gillian	NA	NA	18	18-24	Male	2025-12-23	December	70.79	1	Jeans	Bottoms	Brown	No	In-store	Cardiff	4	3	Yes
73	Amanda	NA	NA	25	25-34	Female	2025-12-23	December	44.6	1	Hat	Accessories	White	No	In-store	London	4	3	NA
74	Katie	NA	NA	18	18-24	Non-binary	2025-06-05	June	75.68	1	Joggers	Bottoms	Black	Yes	Website	Cardiff	4	5	Yes
75	Damien	NA	NA	33	25-34	Male	2025-04-13	April	92.09	1	Shirt	Tops	Black	No	In-store	London	5	3	NA
76	Mark	NA	NA	30	25-34	Female	2025-10-30	October	92.57	1	Trainers	Footwear	Brown	No	Website	Brighton	4	5	Yes
77	Gavin	NA	NA	18	18-24	Male	2025-12-13	December	24.4	1	Trousers	Bottoms	Pink	No	Website	Birmingham	5	3	Yes
78	Nigel	NA	NA	31	25-34	Male	2025-04-20	April	83.22	1	Jewellery	Accessories	Black	Yes	Website	London	4	3	Yes
79	Kirsty	NA	NA	36	35-44	Male	2025-06-08	June	43.93	1	Jacket	Outerwear	Grey	No	In-store	London	4	4	NA
80	Charlene	NA	NA	18	18-24	Female	2025-06-14	June	43.57	1	Tshirt	Tops	Beige	No	In-store	London	5	3	Yes
81	Hayley	NA	NA	36	35-44	Male	2025-01-26	January	31.63	1	Boots	Footwear	Brown	No	Website	Nottingham	3	4	NA
82	Julia	NA	NA	25	25-34	Female	2025-10-02	October	82.26	1	Trainers	Footwear	Yellow	No	In-store	Brighton	3	5	Yes
83	Laura	NA	NA	31	25-34	Female	2025-03-15	March	70.91	1	Joggers	Bottoms	Brown	Yes	App	Cardiff	5	3	Yes
84	Hazel	NA	NA	18	18-24	Female	2025-10-22	October	82.16	1	Coat	Outerwear	Grey	No	Website	London	5	4	NA
85	Ronald	NA	NA	18	18-24	Female	2025-06-11	June	33.4	1	Joggers	Bottoms	Brown	Yes	In-store	London	5	3	NA
86	Samantha	NA	NA	18	18-24	Male	2025-04-11	April	99.05	1	Trousers	Bottoms	White	Yes	In-store	Brighton	3	3	NA
87	Sarah	NA	NA	27	25-34	Female	2025-12-08	December	42.24	1	Hat	Accessories	Brown	Yes	App	London	2	4	NA
88	Amy	NA	NA	26	25-34	Female	2025-10-03	October	95.56	1	Joggers	Bottoms	White	No	In-store	London	4	4	NA
89	Bernard	NA	NA	19	18-24	Female	2025-08-12	August	87.99	1	Shirt	Tops	Brown	No	Website	Liverpool	3	4	Yes
90	Jack	NA	NA	21	18-24	Female	2025-12-30	December	51.63	1	Coat	Outerwear	Blue	No	In-store	Bath	3	5	Yes
91	Amber	NA	NA	39	35-44	Non-binary	2025-12-07	December	31.36	1	Trainers	Footwear	Brown	No	In-store	London	4	2	NA
92	Alice	NA	NA	27	25-34	Male	2025-12-08	December	35.83	1	Jewellery	Accessories	Brown	No	In-store	London	4	4	NA
93	Gavin	NA	NA	39	35-44	Female	2025-11-04	November	56.0	1	Joggers	Bottoms	Beige	No	In-store	London	3	5	NA
94	Sylvia	NA	NA	28	25-34	Non-binary	2025-09-25	September	51.27	1	Jacket	Outerwear	Blue	No	In-store	London	4	4	NA
95	Amelia	NA	NA	37	35-44	Female	2025-08-28	August	88.07	1	Joggers	Bottoms	White	No	In-store	Cardiff	4	4	NA
96	Yvonne	NA	NA	25	25-34	Male	2025-02-17	February	61.44	1	Tshirt	Tops	Red	Yes	In-store	Cardiff	3	4	Yes
97	Gail	NA	NA	28	25-34	Female	2025-06-10	June	91.7	1	Boots	Footwear	Blue	No	In-store	Liverpool	2	4	Yes
98	Nicola	NA	NA	30	25-34	Female	2025-04-09	April	22.48	2	Trainers	Footwear	Brown	No	In-store	London	2	5	NA
99	Valerie	NA	NA	19	18-24	Female	2025-07-28	July	92.16	1	Shirt	Tops	Brown	No	In-store	London	4	4	Yes
100	Nicholas	NA	NA	24	18-24	Female	2025-04-01	April	83.67	1	Jacket	Outerwear	Brown	No	In-store	Brighton	4	5	NA
101	Bethan	NA	NA	23	18-24	Male	2025-11-04	November	38.1	1	Trainers	Footwear	Black	No	Website	Bath	4	4	Yes
102	Benjamin	NA	NA	19	18-24	Female	2025-11-07	November	39.64	1	Hat	Accessories	Black	No	In-store	London	1	5	NA
103	Ann	NA	NA	38	35-44	Other	2025-04-11	April	54.53	1	Jeans	Bottoms	Brown	No	Website	Glasgow	4	2	NA
104	Kelly	NA	NA	25	25-34	Female	2025-08-24	August	94.71	1	Jeans	Bottoms	Black	No	Website	Birmingham	4	5	NA
105	Bradley	NA	NA	30	25-34	Female	2025-04-04	April	30.33	1	Hat	Accessories	Brown	No	In-store	London	4	3	NA
106	Joanna	NA	NA	25	25-34	Female	2025-08-14	August	39.43	1	Trousers	Bottoms	White	No	In-store	London	4	5	NA
107	Derek	NA	NA	23	18-24	Male	2025-10-04	October	90.21	1	Joggers	Bottoms	Red	Yes	App	Glasgow	4	3	NA
108	Leon	NA	NA	23	18-24	Female	2025-05-07	May	33.37	1	Hat	Accessories	Black	No	In-store	Cardiff	4	4	NA
109	Tom	NA	NA	44	35-44	Female	2025-02-19	February	51.51	1	Polo	Tops	Brown	No	In-store	Glasgow	4	4	Yes
110	Sylvia	NA	NA	35	35-44	Non-binary	2025-06-13	June	46.28	1	Sneakers	Footwear	Grey	No	In-store	Cardiff	4	5	NA
111	Scott	NA	NA	36	35-44	Male	2025-02-26	February	93.93	1	Hat	Accessories	Brown	No	App	Birmingham	4	5	NA
112	Simon	NA	NA	27	25-34	Female	2025-06-16	June	65.25	1	Trousers	Bottoms	Purple	Yes	In-store	Cardiff	5	5	NA
113	Lucy	NA	NA	18	18-24	Female	2025-05-21	May	87.77	1	Jewellery	Accessories	Brown	No	Website	Bath	4	4	Yes
114	Glenn	NA	NA	28	25-34	Female	2025-04-14	April	98.99	1	Hat	Accessories	Pink	Yes	In-store	London	4	3	NA
115	Guy	NA	NA	24	18-24	Female	2025-12-10	December	40.63	1	Trousers	Bottoms	Black	No	Website	London	4	3	NA
116	Carolyn	NA	NA	23	18-24	Male	2025-07-24	July	77.83	1	Hat	Accessories	Beige	No	Website	Bath	3	3	Yes
117	Keith	NA	NA	31	25-34	Non-binary	2025-03-27	March	20.44	1	Jewellery	Accessories	Black	No	Website	Liverpool	4	5	NA
118	Jennifer	NA	NA	36	35-44	Non-binary	2025-06-21	June	34.62	1	Joggers	Bottoms	Black	No	Website	Liverpool	5	4	NA
119	Suzanne	NA	NA	18	18-24	Male	2025-03-03	March	66.56	1	Jewellery	Accessories	Black	Yes	In-store	Cardiff	3	4	NA
120	Phillip	NA	NA	29	25-34	Male	2025-02-26	February	40.94	1	Jewellery	Accessories	Black	Yes	Website	London	2	4	NA
121	Stuart	NA	NA	35	35-44	Genderfluid	2025-12-22	December	63.67	3	Polo	Tops	Grey	Yes	In-store	London	4	4	NA
122	Paula	NA	NA	41	35-44	Female	2025-07-18	July	66.03	1	Jacket	Outerwear	Red	No	In-store	Brighton	4	3	NA
123	Linda	NA	NA	27	25-34	Genderfluid	2025-12-07	December	52.97	2	Joggers	Bottoms	Black	No	In-store	London	4	4	No
124	Joanne	NA	NA	30	25-34	Female	2025-07-22	July	47.8	1	Trousers	Bottoms	Black	No	App	London	5	4	NA
125	Norman	NA	NA	27	25-34	Female	2025-02-04	February	90.05	1	Sneakers	Footwear	Pink	No	In-store	London	4	5	NA
126	Carly	NA	NA	18	18-24	Male	2025-12-05	December	26.76	2	Jeans	Bottoms	Yellow	No	In-store	Liverpool	5	5	Yes
127	Alexandra	NA	NA	29	25-34	Male	2025-04-01	April	71.56	2	Tshirt	Tops	White	No	In-store	Cardiff	5	4	NA
128	Alexander	NA	NA	18	18-24	Non-binary	2025-02-01	February	54.92	1	Sneakers	Footwear	Pink	No	In-store	Brighton	3	5	NA
129	Donna	NA	NA	18	18-24	Male	2025-10-01	October	59.85	1	Shirt	Tops	Brown	No	Website	Birmingham	4	4	No
130	Annette	NA	NA	36	35-44	Male	2025-10-06	October	79.31	1	Jeans	Bottoms	Blue	No	In-store	Birmingham	5	2	NA
131	Ben	NA	NA	25	25-34	Female	2025-09-26	September	34.1	1	Jewellery	Accessories	Black	No	In-store	Brighton	3	2	NA
132	Joshua	NA	NA	28	25-34	Female	2025-10-30	October	95.19	1	Shirt	Tops	White	No	Website	Bath	5	4	NA
133	Megan	NA	NA	28	25-34	Male	2025-09-07	September	52.23	1	Polo	Tops	Purple	No	Website	Nottingham	4	3	NA
134	Julian	NA	NA	38	35-44	Female	2025-02-21	February	55.65	1	Trousers	Bottoms	Brown	No	In-store	London	4	4	NA
135	Debra	NA	NA	26	25-34	Male	2025-12-18	December	34.77	1	Trousers	Bottoms	Blue	No	In-store	London	4	4	NA
136	Charlie	NA	NA	29	25-34	Male	2025-09-12	September	23.27	1	Trainers	Footwear	Beige	No	In-store	Birmingham	3	5	NA
137	Kieran	NA	NA	31	25-34	Male	2025-12-18	December	72.37	1	Coat	Outerwear	Black	No	In-store	Cardiff	5	5	Yes
138	Dawn	NA	NA	30	25-34	Female	2025-06-03	June	49.28	1	Jewellery	Accessories	Brown	No	In-store	Glasgow	4	4	Yes
139	Susan	NA	NA	18	18-24	Genderfluid	2025-03-19	March	95.04	1	Trainers	Footwear	Black	No	Website	Bath	5	3	NA
140	Hayley	NA	NA	23	18-24	Male	2025-05-23	May	51.77	2	Hat	Accessories	Brown	No	App	Bath	5	4	NA
141	Sally	NA	NA	30	25-34	Female	2025-11-10	November	98.88	1	Jewellery	Accessories	Black	No	In-store	Liverpool	3	5	Yes
142	Clifford	NA	NA	35	35-44	Female	2025-10-31	October	27.9	1	Hat	Accessories	White	No	Website	Liverpool	5	4	NA
143	Wayne	NA	NA	28	25-34	Female	2025-02-15	February	47.24	2	Coat	Outerwear	Grey	No	Website	Cardiff	5	4	Yes
144	Colin	NA	NA	24	18-24	Non-binary	2025-02-13	February	91.68	2	Polo	Tops	Black	No	In-store	Liverpool	5	4	Yes
145	Daniel	NA	NA	31	25-34	Female	2025-10-12	October	63.74	1	Coat	Outerwear	Black	No	Website	Cardiff	5	4	Yes
146	Tony	NA	NA	35	35-44	Male	2025-11-24	November	23.52	1	Sneakers	Footwear	Black	No	Website	London	4	4	NA
147	Graeme	NA	NA	23	18-24	Non-binary	2025-01-01	January	29.64	1	Sneakers	Footwear	Grey	Yes	Website	Brighton	4	4	NA
148	Lauren	NA	NA	18	18-24	Female	2025-09-11	September	32.25	1	Trainers	Footwear	Black	No	In-store	Birmingham	4	4	NA
149	Tracy	NA	NA	37	35-44	Non-binary	2025-06-22	June	27.23	1	Trainers	Footwear	Brown	No	Website	Cardiff	4	5	NA
150	Damian	NA	NA	36	35-44	Other	2025-09-24	September	28.91	1	Polo	Tops	Brown	Yes	In-store	Cardiff	5	3	Yes
151	Christine	NA	NA	29	25-34	Male	2025-02-05	February	57.21	1	Joggers	Bottoms	Black	No	Website	London	3	4	Yes
152	Bryan	NA	NA	18	18-24	Female	2025-06-14	June	21.56	1	Trainers	Footwear	Brown	No	Website	Bath	3	5	NA
153	Lucy	NA	NA	18	18-24	Female	2025-10-18	October	89.56	1	Coat	Outerwear	Black	No	In-store	Brighton	4	4	Yes
154	Victoria	NA	NA	35	35-44	Male	2025-02-19	February	81.33	1	Shirt	Tops	Black	No	Website	Cardiff	5	2	Yes
155	Joseph	NA	NA	20	18-24	Female	2025-12-03	December	24.34	1	Jacket	Outerwear	Black	No	Website	Birmingham	2	5	NA
156	Valerie	NA	NA	25	25-34	Female	2025-05-20	May	26.05	1	Polo	Tops	Beige	No	Website	Brighton	4	3	Yes
157	Annette	NA	NA	28	25-34	Male	2025-11-07	November	29.81	1	Hat	Accessories	Brown	No	In-store	Bath	4	5	NA
158	David	NA	NA	18	18-24	Male	2025-02-16	February	82.47	1	Coat	Outerwear	Pink	Yes	In-store	London	5	5	No
159	Martin	NA	NA	32	25-34	Female	2025-08-31	August	54.44	1	Hat	Accessories	Grey	No	In-store	Liverpool	3	5	NA
160	Hannah	NA	NA	29	25-34	Genderfluid	2025-03-09	March	25.06	1	Jewellery	Accessories	Black	No	In-store	Bath	4	3	Yes
161	Leon	NA	NA	29	25-34	Male	2025-11-19	November	88.62	2	Trainers	Footwear	Red	Yes	In-store	London	4	5	Yes
162	Geoffrey	NA	NA	18	18-24	Female	2025-06-01	June	20.35	1	Sneakers	Footwear	Orange	No	In-store	Glasgow	3	3	NA
163	Richard	NA	NA	19	18-24	Other	2025-07-22	July	76.93	1	Jewellery	Accessories	Black	No	Website	Liverpool	4	4	NA
164	Wendy	NA	NA	40	35-44	Male	2025-10-09	October	91.0	1	Joggers	Bottoms	Black	No	In-store	Liverpool	4	3	Yes
165	John	NA	NA	29	25-34	Female	2025-04-26	April	60.43	1	Sneakers	Footwear	Black	Yes	In-store	Bath	5	5	NA
166	Jason	NA	NA	18	18-24	Male	2025-01-05	January	59.0	1	Trousers	Bottoms	Brown	No	Website	London	4	5	NA
167	Martyn	NA	NA	42	35-44	Female	2025-01-10	January	54.06	1	Trainers	Footwear	Grey	No	Website	Brighton	3	4	NA
168	Ann	NA	NA	18	18-24	Female	2025-06-13	June	42.0	1	Jewellery	Accessories	White	No	In-store	London	4	5	Yes
169	Stephen	NA	NA	18	18-24	Female	2025-03-17	March	76.07	2	Polo	Tops	Black	No	In-store	Liverpool	5	5	NA
170	Joyce	NA	NA	47	45-54	Female	2025-04-06	April	65.84	2	Trousers	Bottoms	Black	Yes	In-store	Cardiff	4	4	No
171	Mitchell	NA	NA	24	18-24	Non-binary	2025-07-13	July	74.9	1	Sneakers	Footwear	Black	No	In-store	London	4	3	Yes
172	Keith	NA	NA	42	35-44	Female	2025-05-11	May	78.79	4	Shirt	Tops	Grey	No	App	Cardiff	5	3	Yes
173	Neil	NA	NA	31	25-34	Female	2025-06-19	June	83.14	1	Jewellery	Accessories	Black	No	App	Bath	4	1	Yes
174	Jeffrey	NA	NA	25	25-34	Male	2025-03-02	March	81.19	1	Tshirt	Tops	Brown	No	App	London	4	5	NA
175	James	NA	NA	21	18-24	Female	2025-01-04	January	35.01	1	Hat	Accessories	Red	No	Website	Glasgow	5	5	Yes
176	Norman	NA	NA	18	18-24	Female	2025-03-05	March	97.48	1	Polo	Tops	Grey	Yes	App	Glasgow	5	4	NA
177	Nicholas	NA	NA	18	18-24	Female	2025-12-04	December	79.99	1	Boots	Footwear	Black	No	App	Cardiff	4	5	Yes
178	Toby	NA	NA	22	18-24	Non-binary	2025-03-06	March	38.05	4	Polo	Tops	Brown	No	Website	Glasgow	3	5	NA
179	Jacqueline	NA	NA	26	25-34	Male	2025-06-07	June	50.59	1	Shirt	Tops	White	Yes	App	Bath	5	4	Yes
180	Jamie	NA	NA	30	25-34	Female	2025-09-20	September	48.14	1	Tshirt	Tops	White	No	Website	Liverpool	5	3	NA
181	Gordon	NA	NA	28	25-34	Genderfluid	2025-06-23	June	25.24	1	Jewellery	Accessories	Black	No	In-store	Cardiff	4	5	NA
182	Abbie	NA	NA	39	35-44	Female	2025-02-16	February	55.38	1	Hat	Accessories	Green	No	In-store	London	5	3	Yes
183	Molly	NA	NA	45	45-54	Female	2025-08-21	August	66.27	1	Sneakers	Footwear	Beige	No	In-store	Cardiff	5	3	No
184	Abbie	NA	NA	55	55-64	Female	2025-03-21	March	98.96	1	Sneakers	Footwear	Brown	Yes	In-store	London	5	4	NA
185	Elliott	NA	NA	32	25-34	Female	2025-10-20	October	76.58	1	Polo	Tops	Brown	No	App	Birmingham	3	2	Yes
186	Callum	NA	NA	33	25-34	Male	2025-10-24	October	35.81	1	Polo	Tops	Green	Yes	In-store	Brighton	3	4	Yes
187	Molly	NA	NA	20	18-24	Female	2025-02-26	February	84.37	1	Jewellery	Accessories	Brown	No	App	Birmingham	4	4	Yes
188	Mark	NA	NA	27	25-34	Female	2025-08-03	August	39.15	1	Jeans	Bottoms	Red	No	In-store	Nottingham	4	5	NA
189	Francesca	NA	NA	18	18-24	Female	2025-03-08	March	34.39	1	Sneakers	Footwear	Blue	No	In-store	London	4	4	Yes
190	Dean	NA	NA	27	25-34	Female	2025-02-24	February	95.65	4	Coat	Outerwear	White	No	Website	Nottingham	5	3	Yes
191	Rosie	NA	NA	43	35-44	Female	2025-01-22	January	33.03	1	Sneakers	Footwear	Brown	No	Website	Liverpool	5	4	NA
192	Valerie	NA	NA	19	18-24	Non-binary	2025-10-03	October	21.8	1	Coat	Outerwear	Beige	No	In-store	Cardiff	4	3	Yes
193	Glenn	NA	NA	24	18-24	Male	2025-02-07	February	85.04	1	Trousers	Bottoms	Black	Yes	Website	Cardiff	3	3	Yes
194	Jay	NA	NA	42	35-44	Male	2025-06-26	June	38.63	1	Trainers	Footwear	Brown	Yes	Website	Liverpool	4	3	NA
195	Wendy	NA	NA	27	25-34	Male	2025-03-16	March	84.36	1	Sneakers	Footwear	Black	No	App	London	3	2	Yes
196	Daniel	NA	NA	36	35-44	Female	2025-01-08	January	24.02	1	Boots	Footwear	Grey	Yes	Website	London	5	4	NA
197	Hannah	NA	NA	26	25-34	Female	2025-05-10	May	42.74	1	Tshirt	Tops	Black	No	In-store	Liverpool	3	5	No
198	Melanie	NA	NA	44	35-44	Female	2025-05-13	May	40.96	1	Jeans	Bottoms	Brown	No	In-store	Cardiff	4	4	NA
199	Jean	NA	NA	18	18-24	Female	2025-03-09	March	42.12	1	Jacket	Outerwear	Red	Yes	Website	London	5	3	NA
200	Lynda	NA	NA	33	25-34	Male	2025-01-20	January	29.54	1	Jewellery	Accessories	Blue	No	In-store	Bath	3	4	NA
201	Mathew	NA	NA	39	35-44	Female	2025-07-20	July	91.92	1	Sneakers	Footwear	White	No	In-store	London	4	2	Yes
202	Janet	NA	NA	22	18-24	Genderfluid	2025-08-09	August	31.25	1	Tshirt	Tops	Brown	No	Website	Birmingham	3	3	Yes
